entity,share_2020,share_2024_projected,forecast_2027,forecast_2028,forecast_2029,gdp_group,change_2020_to_2029,at_risk
Seychelles,1.47,1.6890576580750523,1.850122498421625,1.9038107785371492,1.9574990586526733,mid-high,0.4874990586526733,False
Antigua and Barbuda,0.91,1.328356641102164,1.5916790654279194,1.6794532068698378,1.7672273483117564,mid-high,0.8572273483117564,False
Tonga,1.77,1.7463979824087454,1.7288966272883444,1.7230628422482106,1.717229057208077,mid-low,-0.05277094279192296,True
United Arab Emirates,0.67,1.1413519298454582,1.4856248622228034,1.600382506348585,1.7151401504743666,high,1.0451401504743667,False
Kazakhstan,1.7,1.5092087874708857,1.3686312857032863,1.3217721184474198,1.2749129511915531,low,-0.42508704880844683,True
Singapore,0.84,1.0155799033706332,1.1429259799327354,1.185374672120103,1.2278233643074703,high,0.38782336430747033,False
Bermuda,0.84,0.924219592511546,0.9936560061444529,1.016801477355422,1.0399469485663908,high,0.19994694856639084,False
Nauru,0.61,0.7795400063584285,0.9024937041483726,0.9434782700783539,0.9844628360083353,mid-high,0.3744628360083353,False
Maldives,1.11,1.055714140705738,0.997070263991539,0.977522305086806,0.9579743461820731,mid-low,-0.152025653817927,True
Bahamas,1.14,0.9417948849069417,0.8092605877327522,0.7650824886746891,0.720904389616626,nan,-0.41909561038337395,True
Azerbaijan,1.62,1.1388520106486102,0.7861639937322511,0.6686013214267981,0.551038649121345,low,-1.068961350878655,True
Trinidad and Tobago,0.43,0.48118998149780656,0.5071654989020311,0.5158240047034393,0.5244825105048475,mid-high,0.09448251050484752,False
Iraq,0.43,0.34257107079446547,0.2782885438765051,0.2568610349038516,0.23543352593119815,mid-low,-0.19456647406880184,True
Kuwait,0.06,0.11318814605458499,0.15133077638069015,0.16404498648939186,0.17675919659809358,high,0.11675919659809358,False
Algeria,0.16,0.12769084501195066,0.10445468894222416,0.09670930358564866,0.08896391822907315,mid-low,-0.07103608177092685,True
Saudi Arabia,0.03,0.04796752259999999,0.060721919456249995,0.064973385075,0.06922485069374999,mid-high,0.039224850693749994,False
Turkmenistan,0.06,0.05696735178754907,0.054848882564895986,0.05414272615734496,0.053436569749793925,low,-0.006563430250206073,True
Qatar,0.04,0.023061627303624155,0.010670773392253599,0.0065404887551300805,0.002410204118006562,high,-0.03758979588199344,True
Bahrain,0.0,0.0,0.0,0.0,0.0,mid-high,0.0,False
Cayman Islands,0.0,0.0,0.0,0.0,0.0,high,0.0,False
Guyana,11.35,0.0,0.0,0.0,0.0,low,-11.35,True
Saint Kitts and Nevis,1.58,0.0,0.0,0.0,0.0,nan,-1.58,True
Oman,0.0,0.0,0.0,0.0,0.0,mid-high,0.0,False
